SET-WRITE capture start (25G83 adaptation 3)
WRITE t=49341709 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=113 a2=8192 a3=0 a4=0
WRITE t=49341728 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=0 a2=616 a3=251659248 a4=0
WRITE t=49341746 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=0 a2=488 a3=67371087 a4=0
WRITE t=49341756 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=0 a2=488 a3=251921407 a4=0
WRITE t=49341765 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=0 a2=488 a3=520356095 a4=0
WRITE t=49341779 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=0 a2=488 a3=336527951 a4=0
WRITE t=49341787 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=0 a2=488 a3=252642047 a4=0
WRITE t=49341794 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=0 a2=488 a3=67371840 a4=0
WRITE t=49341891 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=0 a2=98316 a3=0 a4=0
WRITE t=49342668 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=2 a2=409600 a3=0 a4=0
WRITE t=49342689 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=0 a2=98324 a3=0 a4=0
WRITE t=53859508 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=0 a2=98324 a3=15 a4=0
WRITE t=53859853 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=0 a2=98324 a3=47 a4=0
WRITE t=53859859 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=2 a2=409600 a3=1 a4=0
WRITE t=53859868 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=0 a2=488 a3=251920384 a4=0
WRITE t=53859875 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=0 a2=488 a3=251920399 a4=0
WRITE t=53859886 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=0 a2=488 a3=520355855 a4=0
WRITE t=53859896 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=0 a2=98316 a3=15 a4=0
WRITE t=53860098 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=0 a2=98316 a3=47 a4=0
WRITE t=53860108 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=0 a2=616 a3=251658255 a4=0
WRITE t=53860121 f=_ZN9ApplePMGR10writeReg32ENS_6RegMapEjjj a1=113 a2=8192 a3=1 a4=0
