com.apple.driver.AppleThunderboltDPInAdapter vm=0xfffffe00077a8880 file=0x7a4880
com.apple.driver.AppleThunderboltDPOutAdapter vm=0xfffffe00077ab0b0 file=0x7a70b0
com.apple.driver.AppleThunderboltEDMSource vm=0xfffffe00077c7f60 file=0x7c3f60
com.apple.driver.AppleThunderboltIP vm=0xfffffe00077c9b90 file=0x7c5b90
com.apple.driver.AppleThunderboltNHI vm=0xfffffe00077f6550 file=0x7f2550
com.apple.driver.AppleThunderboltPCIDownAdapter vm=0xfffffe0007833990 file=0x82f990
com.apple.driver.AppleThunderboltPCIUpAdapter vm=0xfffffe0007835260 file=0x831260
com.apple.driver.AppleThunderboltUSBDownAdapter vm=0xfffffe0007839ae0 file=0x835ae0
com.apple.driver.AppleThunderboltUSBType2DownAdapter vm=0xfffffe000783a680 file=0x836680
com.apple.driver.AppleThunderboltUSBType2UpAdapter vm=0xfffffe000783b7b0 file=0x8377b0
com.apple.driver.AppleThunderboltUSBUpAdapter vm=0xfffffe000783fbe0 file=0x83bbe0
com.apple.driver.AppleThunderboltUTDM vm=0xfffffe0007843110 file=0x83f110
com.apple.driver.AppleTopCaseHIDEventDriver vm=0xfffffe0007844500 file=0x840500
com.apple.driver.AppleUSBTopCaseDriver vm=0xfffffe0007846990 file=0x842990
com.apple.driver.AppleTrustedAccessory vm=0xfffffe0007847170 file=0x843170
com.apple.driver.AppleTypeCPhy vm=0xfffffe000784f580 file=0x84b580
com.apple.driver.AppleT8103TypeCPhy vm=0xfffffe00078529d0 file=0x84e9d0
com.apple.driver.AppleT8112TypeCPhy vm=0xfffffe000786ca30 file=0x868a30
com.apple.driver.AppleTypeCRetimer vm=0xfffffe0007871f40 file=0x86df40
com.apple.driver.AppleUIO vm=0xfffffe0007874550 file=0x870550
com.apple.driver.usb.cdc.acm vm=0xfffffe00078759e0 file=0x8719e0
com.apple.driver.AppleUSBAudio vm=0xfffffe0007876230 file=0x872230
com.apple.driver.usb.cdc vm=0xfffffe0007879b30 file=0x875b30
com.apple.driver.usb.AppleUSBCommon vm=0xfffffe000787a390 file=0x876390
com.apple.driver.usb.AppleUSBVHCICommon vm=0xfffffe000787af20 file=0x876f20
com.apple.driver.usb.AppleUSBVHCICommonRSM vm=0xfffffe000787c2f0 file=0x8782f0
com.apple.driver.AppleUSBDeviceMux vm=0xfffffe000787e510 file=0x87a510
com.apple.driver.AppleUSBDeviceNCM vm=0xfffffe000787ff20 file=0x87bf20
com.apple.driver.usb.cdc.ecm vm=0xfffffe0007881620 file=0x87d620
com.apple.driver.usb.ethernet.asix vm=0xfffffe0007881ff0 file=0x87dff0
com.apple.macos.driver.AppleUSBEthernetHost vm=0xfffffe00078836c0 file=0x87f6c0
com.apple.driver.AppleUSBLightningAdapter vm=0xfffffe00078848b0 file=0x8808b0
com.apple.driver.usb.cdc.ncm vm=0xfffffe00078870a0 file=0x8830a0
com.apple.driver.usb.networking vm=0xfffffe0007889c00 file=0x885c00
com.apple.driver.usb.realtek8153patcher vm=0xfffffe000788a840 file=0x886840
com.apple.driver.usb.serial vm=0xfffffe000788d140 file=0x889140
com.apple.driver.AppleUVDM vm=0xfffffe000788da60 file=0x889a60
com.apple.driver.AppleUVDMDriver vm=0xfffffe000788e490 file=0x88a490
com.apple.driver.AppleXsanScheme vm=0xfffffe000788fe90 file=0x88be90
com.apple.driver.AudioDMAController-T602x vm=0xfffffe0007890890 file=0x88c890
com.apple.driver.BCMWLANFirmware4388.Hashstore vm=0xfffffe0007894380 file=0x890380
com.apple.BootCache vm=0xfffffe00078a8ac0 file=0x8a4ac0
com.apple.security.BootPolicy vm=0xfffffe00078aa9a0 file=0x8a69a0
com.apple.kec.Compression vm=0xfffffe00078ab790 file=0x8a7790
com.apple.iokit.CoreAnalyticsFamily vm=0xfffffe00078abc30 file=0x8a7c30
com.apple.driver.CoreKDL vm=0xfffffe00078afaa0 file=0x8abaa0
com.apple.driver.CoreStorage vm=0xfffffe00078b1a60 file=0x8ada60
com.apple.driver.CoreStorageFsck vm=0xfffffe00078bb3f0 file=0x8b73f0
com.apple.kext.CoreTrust vm=0xfffffe00078bcd80 file=0x8b8d80
com.apple.driver.DCPAVFamilyProxy vm=0xfffffe00078c61d0 file=0x8c21d0
com.apple.driver.DCPDPFamilyProxy vm=0xfffffe00078ca1c0 file=0x8c61c0
com.apple.EXBrightCalibrationConsumer vm=0xfffffe00078cada0 file=0x8c6da0
com.apple.iokit.EndpointSecurity vm=0xfffffe00078cbc10 file=0x8c7c10
com.apple.driver.ExclavesAudioKext vm=0xfffffe00078dafe0 file=0x8d6fe0
com.apple.driver.FairPlayIOKit vm=0xfffffe00078dffd0 file=0x8dbfd0
com.apple.filesystems.hfs.kext vm=0xfffffe000791f9e0 file=0x91b9e0
com.apple.driver.IISAudioIsolatedStreamECProxy vm=0xfffffe000792c760 file=0x928760
com.apple.iokit.IO80211Family vm=0xfffffe000792d630 file=0x929630
com.apple.iokit.IOAHCIFamily vm=0xfffffe00079fc5c0 file=0x9f85c0
com.apple.iokit.IOAHCIBlockStorage vm=0xfffffe0007a01640 file=0x9fd640
com.apple.iokit.IOAVBFamily vm=0xfffffe0007a07bd0 file=0xa03bd0
com.apple.plugin.IOAVBControlPlugin vm=0xfffffe0007a145d0 file=0xa105d0
com.apple.plugin.IOAVBDiscoveryPlugin vm=0xfffffe0007a17050 file=0xa13050
com.apple.plugin.IOAVBStreamingPlugin vm=0xfffffe0007a19a10 file=0xa15a10
com.apple.plugin.IOMRPPlugin vm=0xfffffe0007a213d0 file=0xa1d3d0
com.apple.iokit.IOAVFamily vm=0xfffffe0007a27420 file=0xa23420
com.apple.iokit.IOAccessoryManager vm=0xfffffe0007a4c420 file=0xa48420
com.apple.iokit.IOAccessoryPortUSB vm=0xfffffe0007a70040 file=0xa6c040
com.apple.iokit.IOAudio2Family vm=0xfffffe0007a70c70 file=0xa6cc70
com.apple.iokit.IOAudioFamily vm=0xfffffe0007a71660 file=0xa6d660
com.apple.iokit.IOBDStorageFamily vm=0xfffffe0007a779a0 file=0xa739a0
com.apple.iokit.IOBiometricFamily vm=0xfffffe0007a781d0 file=0xa741d0
com.apple.iokit.IOBluetoothFamily vm=0xfffffe0007a7ad70 file=0xa76d70
com.apple.driver.IOBluetoothHIDDriver vm=0xfffffe0007a89950 file=0xa85950
com.apple.iokit.IOBufferCopyEngineFamily vm=0xfffffe0007a91790 file=0xa8d790
com.apple.iokit.IOCDStorageFamily vm=0xfffffe0007a92650 file=0xa8e650
com.apple.iokit.IOCECFamily vm=0xfffffe0007a93020 file=0xa8f020
com.apple.iokit.IOCryptoAcceleratorFamily vm=0xfffffe0007a93a60 file=0xa8fa60
com.apple.driver.IODARTFamily vm=0xfffffe0007a94620 file=0xa90620
com.apple.iokit.IODVDStorageFamily vm=0xfffffe0007a96bc0 file=0xa92bc0
com.apple.iokit.IODisplayPortFamily vm=0xfffffe0007a973d0 file=0xa933d0
com.apple.iokit.IOGPUFamily vm=0xfffffe0007aaa650 file=0xaa6650
com.apple.iokit.IOGameControllerFamily vm=0xfffffe0007ab6ea0 file=0xab2ea0
com.apple.iokit.IOGraphicsFamily vm=0xfffffe0007aba660 file=0xab6660
com.apple.iokit.IOHDCPFamily vm=0xfffffe0007abee90 file=0xabae90
com.apple.driver.DiskImages vm=0xfffffe0007ac5240 file=0xac1240
com.apple.driver.DiskImages.FileBackingStore vm=0xfffffe0007ac73b0 file=0xac33b0
com.apple.driver.DiskImages.KernelBacked vm=0xfffffe0007ac7c30 file=0xac3c30
com.apple.driver.DiskImages.RAMBackingStore vm=0xfffffe0007ac8980 file=0xac4980
com.apple.driver.DiskImages.ReadWriteDiskImage vm=0xfffffe0007ac9020 file=0xac5020
com.apple.driver.DiskImages.UDIFDiskImage vm=0xfffffe0007ac9640 file=0xac5640
com.apple.iokit.IOHIDFamily vm=0xfffffe0007accfd0 file=0xac8fd0
com.apple.driver.IOHIDPowerSource vm=0xfffffe0007ad8bd0 file=0xad4bd0
com.apple.driver.IOImageLoader vm=0xfffffe0007ad9ed0 file=0xad5ed0
com.apple.iokit.IOKitRegistryCompatibility vm=0xfffffe0007adc480 file=0xad8480
com.apple.iokit.IOMobileGraphicsFamily-DCP vm=0xfffffe0007adcb30 file=0xad8b30
com.apple.iokit.IOMobileGraphicsFamily vm=0xfffffe0007ae64c0 file=0xae24c0
com.apple.iokit.IONVMeFamily vm=0xfffffe0007af0880 file=0xaec880
com.apple.iokit.IONetworkingFamily vm=0xfffffe0007b02060 file=0xafe060
com.apple.iokit.AppleBCM5701Ethernet vm=0xfffffe0007b03980 file=0xaff980
com.apple.driver.AppleEthernetAquantiaAqtion vm=0xfffffe0007b080b0 file=0xb040b0
com.apple.AppleEthernetAquantiaAqtionFirmware vm=0xfffffe0007b0f7e0 file=0xb0b7e0
com.apple.driver.AppleEthernetAquantiaAqtionPortMonitor vm=0xfffffe0007b103e0 file=0xb0c3e0
com.apple.driver.AppleEthernetRL vm=0xfffffe0007b10dc0 file=0xb0cdc0
com.apple.driver.AppleI2CEthernetAquantia vm=0xfffffe0007b36870 file=0xb32870
com.apple.driver.AppleSkywalkAVB vm=0xfffffe0007b38420 file=0xb34420
com.apple.driver.mDNSOffloadUserClient vm=0xfffffe0007b38af0 file=0xb34af0
com.apple.iokit.IOPCIFamily vm=0xfffffe0007b3a410 file=0xb36410
com.apple.iokit.IOPortFamily vm=0xfffffe0007b48250 file=0xb44250
com.apple.iokit.IORSMFamily vm=0xfffffe0007b4c250 file=0xb48250
com.apple.iokit.IOReportFamily vm=0xfffffe0007b4cab0 file=0xb48ab0
com.apple.iokit.IOSCSIArchitectureModelFamily vm=0xfffffe0007b4d860 file=0xb49860
com.apple.iokit.IOSCSIBlockCommandsDevice vm=0xfffffe0007b4fe70 file=0xb4be70
com.apple.iokit.IOSCSIMultimediaCommandsDevice vm=0xfffffe0007b51fd0 file=0xb4dfd0
com.apple.iokit.IOSCSIReducedBlockCommandsDevice vm=0xfffffe0007b53700 file=0xb4f700
